#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable
5.13,119.672,0,True

5.14,0,0,False

5.14,0,82.8643,False

5.14,119.851,0,True

5.15,0,0,False

5.15,0,82.9954,False

5.15,120.029,0,True

5.16,0,0,False

5.16,0,83.1263,False

5.16,120.208,0,True

5.17,0,0,False

5.17,0,83.2571,False

5.17,120.386,0,True

5.18,0,0,False

5.18,0,83.3877,False

5.18,120.563,0,True

5.19,0,0,False

5.19,0,83.5183,False

5.19,120.741,0,True

5.2,0,0,False

5.2,0,83.6487,False

5.2,120.918,0,True

5.21,0,0,False

5.21,0,83.7789,False

5.21,121.096,0,True

5.22,0,0,False

5.22,0,83.9091,False

5.22,121.273,0,True

5.23,0,0,False

5.23,0,84.0391,False

5.23,121.449,0,True

5.24,0,0,False

5.24,0,84.169,False

5.24,121.626,0,True

5.25,0,0,False

5.25,0,84.2988,False

5.25,121.802,0,True

5.26,0,0,False

5.26,0,84.4285,False

5.26,121.978,0,True

5.27,0,0,False

5.27,0,84.558,False

5.27,122.154,0,True

5.28,0,0,False

5.28,0,84.6874,False

5.28,122.33,0,True

5.29,0,0,False

5.29,0,84.8167,False

5.29,122.506,0,True

5.3,0,0,False

5.3,0,84.9459,False

5.3,122.681,0,True

5.31,0,0,False

5.31,0,85.0749,False

5.31,122.856,0,True

5.32,0,0,False

5.32,0,85.2038,False

5.32,123.031,0,True

5.33,0,0,False

5.33,0,85.3326,False

5.33,123.206,0,True

5.34,0,0,False

5.34,0,85.4613,False

5.34,123.38,0,True

5.35,0,0,False

5.35,0,85.5898,False

5.35,123.555,0,True

5.36,0,0,False

5.36,0,85.7183,False

5.36,123.729,0,True

5.37,0,0,False

5.37,0,85.8466,False

5.37,123.903,0,True

5.38,0,0,False

5.38,0,85.9747,False

5.38,124.076,0,True

5.39,0,0,False

5.39,0,86.1028,False

5.39,124.25,0,True

5.4,0,0,False

5.4,0,86.2308,False

5.4,124.423,0,True

5.41,0,0,False

5.41,0,86.3586,False

5.41,124.596,0,True

5.42,0,0,False

5.42,0,86.4863,False

5.42,124.769,0,True

5.43,0,0,False

5.43,0,86.6139,False

5.43,124.942,0,True

5.44,0,0,False

5.44,0,86.7413,False

5.44,125.114,0,True

5.45,0,0,False

5.45,0,86.8687,False

5.45,125.287,0,True

5.46,0,0,False

5.46,0,86.9959,False

5.46,125.459,0,True

5.47,0,0,False

5.47,0,87.123,False

5.47,125.631,0,True

5.48,0,0,False

5.48,0,87.25,False

5.48,125.803,0,True

5.49,0,0,False

5.49,0,87.3768,False

5.49,125.974,0,True

5.5,0,0,False

5.5,0,87.5036,False

5.5,126.145,0,True

5.51,0,0,False

5.51,0,87.6302,False

5.51,126.317,0,True

5.52,0,0,False

5.52,0,87.7567,False

5.52,126.488,0,True

5.53,0,0,False

5.53,0,87.8831,False

5.53,126.658,0,True

5.54,0,0,False

5.54,0,88.0094,False

5.54,126.829,0,True

5.55,0,0,False

5.55,0,88.1356,False

5.55,126.999,0,True

5.56,0,0,False

5.56,0,88.2616,False

5.56,127.17,0,True

5.57,0,0,False

5.57,0,88.3876,False

5.57,127.34,0,True

5.58,0,0,False

5.58,0,88.5134,False

5.58,127.509,0,True

5.59,0,0,False

5.59,0,88.6391,False

5.59,127.679,0,True

5.6,0,0,False

5.6,0,88.7647,False

5.6,127.848,0,True

5.61,0,0,False

5.61,0,88.8901,False

