# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable
5.02,86.0961,19.2866,False

5.02,118.888,0,True

5.03,0,0,False

5.03,0,80.7496,False

5.03,48.6358,44.2414,True

5.03,84.6809,20.2748,False

5.03,119.058,0,True

5.04,0,0,False

5.04,0,80.8731,False

5.04,50.3005,43.1874,True

5.04,83.1347,21.3507,False

5.04,119.228,0,True

5.05,0,0,False

5.05,0,80.9965,False

5.05,52.1393,42.0171,True

5.05,81.4144,22.5427,False

5.05,119.397,0,True

5.06,0,0,False

5.06,0,81.1198,False

5.06,54.2255,40.6816,True

5.06,79.4465,23.9001,False

5.06,119.567,0,True

5.07,0,0,False

5.07,0,81.2429,False

5.07,56.7059,39.083,True

5.07,77.0844,25.5203,False

5.07,119.736,0,True

5.08,0,0,False

5.08,0,81.366,False

5.08,59.9794,36.9556,True

5.08,73.929,27.6694,False

5.08,119.905,0,True

5.09,0,0,False

5.09,0,81.4889,False

5.09,120.073,0,True

5.1,0,0,False

5.1,0,81.6117,False

5.1,120.242,0,True

5.11,0,0,False

5.11,0,81.7343,False

5.11,120.41,0,True

5.12,0,0,False

5.12,0,81.8569,False

5.12,120.578,0,True

5.13,0,0,False

5.13,0,81.9793,False

5.13,120.746,0,True

5.14,0,0,False

5.14,0,82.1016,False

5.14,120.914,0,True

5.15,0,0,False

5.15,0,82.2238,False

5.15,121.082,0,True

5.16,0,0,False

5.16,0,82.3459,False

5.16,121.249,0,True

5.17,0,0,False

5.17,0,82.4679,False

5.17,121.416,0,True

5.18,0,0,False

5.18,0,82.5897,False

5.18,121.583,0,True

5.19,0,0,False

5.19,0,82.7114,False

5.19,121.75,0,True

5.2,0,0,False

5.2,0,82.8331,False

5.2,121.916,0,True

5.21,0,0,False

5.21,0,82.9546,False

5.21,122.083,0,True

5.22,0,0,False

5.22,0,83.0759,False

5.22,122.249,0,True

5.23,0,0,False

5.23,0,83.1972,False

5.23,122.415,0,True

5.24,0,0,False

5.24,0,83.3183,False

5.24,122.581,0,True

5.25,0,0,False

5.25,0,83.4394,False

5.25,122.746,0,True

5.26,0,0,False

5.26,0,83.5603,False

5.26,122.912,0,True

5.27,0,0,False

5.27,0,83.6811,False

5.27,123.077,0,True

5.28,0,0,False

5.28,0,83.8018,False

5.28,123.242,0,True

5.29,0,0,False

5.29,0,83.9224,False

5.29,123.407,0,True

5.3,0,0,False

5.3,0,84.0428,False

5.3,123.572,0,True

5.31,0,0,False

5.31,0,84.1632,False

5.31,123.736,0,True

5.32,0,0,False

5.32,0,84.2834,False

5.32,123.901,0,True

5.33,0,0,False

5.33,0,84.4035,False

5.33,124.065,0,True

5.34,0,0,False

5.34,0,84.5235,False

5.34,124.229,0,True

5.35,0,0,False

5.35,0,84.6434,False

5.35,124.392,0,True

5.36,0,0,False

5.36,0,84.7632,False

5.36,124.556,0,True

5.37,0,0,False

5.37,0,84.8829,False

5.37,124.719,0,True

5.38,0,0,False

5.38,0,85.0025,False

5.38,124.883,0,True

5.39,0,0,False

5.39,0,85.1219,False

5.39,125.046,0,True

5.4,0,0,False

5.4,0,85.2413,False

5.4,125.208,0,True

5.41,0,0,False

5.41,0,85.3605,False

5.41,125.371,0,True

5.42,0,0,False

5.42,0,85.4796,False

5.42,125.534,0,True

5.43,0,0,False

5.43,0,85.5986,False

5.43,125.696,0,True

5.44,0,0,False

5.44,0,85.7175,False

5.44,125.858,0,True

5.45,0,0,False

5.45,0,85.8363,False

5.45,126.02,0,True

5.46,0,0,False

5.46,0,85.955,False

5.46,126.182,0,True

5.47,0,0,False

5.47,0,86.0735,False

